,age,is_selfie_verified,gender,schools,city,show_gender_on_profile,relationship_intent,sexual_orientations,hide_age,hide_distance,is_traveling,custom_gender,zodiac_sign,height,education_level,relationship_type,workout,professions,company_name,has_face
3338,20.0,False,,University of Groningen,,0.0,Still figuring it out,,,,,,,,,,,,,True
3339,26.0,True,,,Groningen,0.0,"Short-term, open to long",,,,,,Gemini,,,,Sometimes,Verhuurmakelaar,,True
3340,30.0,False,F,,Groningen,,"Short-term, open to long",,,,,,Taurus,,,Polyamory,Often,doktersassistente,,False
3341,28.0,False,F,,,,,,,,,,,,,,,,,False
3342,26.0,False,,,,0.0,,,,,,,,,,,,,,True
3343,23.0,False,,,Groningen,0.0,,,,,,,,,,,,,,True
3344,27.0,False,,,,0.0,,,,,,,,,,,,,,True
3345,22.0,False,,,,0.0,Still figuring it out,,,,,,Leo,,,,Occasionally,,,True
3346,23.0,False,F,Rijksuniversiteit Groningen,Groningen,,,,,,,,Virgo,,Masters,,,Student Biomedical Sciences,,True
3347,26.0,False,,,,0.0,,,,,1.0,,,203.0,In Grad School,,,Verkeerskundig adviseur,,True
3348,21.0,False,,Vooropleiding Theater De Noorderlingen,Groningen,0.0,Still figuring it out,,,,,,Leo,,,,,,,True
3349,19.0,False,,,Königswinter,0.0,Still figuring it out,Straight,,,,,Pisces,,In College,,Occasionally,,,True
3350,25.0,False,,Amsterdam School of the Arts,Gronau (Westfalen),0.0,,,,,,,Leo,,Masters,,Occasionally,,,True
3351,21.0,True,,Integrale Veiligheidskunde,,0.0,"Long-term, open to short",,,,,,Libra,,Bachelors,Monogamy,,,,True
3352,20.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,,,,,,,,,,True
3353,24.0,False,,NHL Stenden,,0.0,"Long-term, open to short",,0.0,0.0,,,Sagittarius,,Bachelors,Monogamy,Often,Marketing,,False
3354,25.0,False,F,Hanzehogeschool Groningen,Groningen,,"Long-term, open to short",,,,,,,,,,,,,True
3355,26.0,False,,University of Groningen,,0.0,,,,,0.0,,,,,,,Research master BSS,,True
3356,21.0,True,,Hanzehogeschool Groningen,Groningen,0.0,,,,,,,Sagittarius,173.0,In Grad School,,Sometimes,"[{'company': {'name': 'Freelancer Veer Studios'}, 'title': None}]",Freelancer Veer Studios,True
3357,39.0,True,M,,,,,,,,,,,,,,,"[{'company': {'name': 'Zinn'}, 'title': None}]",Zinn,True
